# z u u_p F_integral F_diff k du_dz
6.450000000000000178e-01 1.173221534577667178e-06 1.179330794992959976e-06 1.473224439364416639e+03 1.472900939277300267e+03 1.278951733494373428e+02 -6.593192233439679477e-06
6.500000000000000222e-01 1.140170846107547796e-06 1.146386933420329170e-06 1.502799372874604387e+03 1.502465986549327681e+03 1.259705086869380324e+02 -6.624324161365434704e-06
6.550000000000000266e-01 1.106978292964012831e-06 1.113297293958435168e-06 1.532297443079027062e+03 1.531954078243554932e+03 1.240210032686022572e+02 -6.649806861081737470e-06
6.600000000000000311e-01 1.073672777496730422e-06 1.080089746407239581e-06 1.561663418189551749e+03 1.561310017048887630e+03 1.220472629143436905e+02 -6.669376494954740502e-06
6.650000000000000355e-01 1.040284528014465426e-06 1.046793324467893383e-06 1.590836558885842805e+03 1.590473104488374702e+03 1.200499346938218252e+02 -6.682766731413829287e-06
6.700000000000000400e-01 1.006845110182592129e-06 1.013438214118040428e-06 1.619750096678725640e+03 1.619376620167339979e+03 1.180297076023407499e+02 -6.689709214174628813e-06
6.750000000000000444e-01 9.733874358727191380e-07 9.800557369721677648e-07 1.648330671640747141e+03 1.647947260472319158e+03 1.159873132014194539e+02 -6.689934126393841961e-06
6.800000000000000488e-01 9.399457689186537092e-07 9.466783281759916623e-07 1.676497732706144234e+03 1.676104539914813813e+03 1.139235262207598112e+02 -6.683170882560192716e-06
6.850000000000000533e-01 9.065557270471172108e-07 9.133395083598646608e-07 1.704162906793230604e+03 1.703760161357585503e+03 1.118391651181839563e+02 -6.669148990274915834e-06
6.900000000000000577e-01 8.732542790159045509e-07 8.800738491526523353e-07 1.731229346943526252e+03 1.730817365292852173e+03 1.097350925939675648e+02 -6.647599134528033699e-06
6.950000000000000622e-01 8.400797357018368696e-07 8.469169317349461367e-07 1.757591074590491417e+03 1.757170273248877947e+03 1.076122160558203262e+02 -6.618254548210308640e-06
7.000000000000000666e-01 8.070717335338014602e-07 8.139052978893111145e-07 1.783132337007306887e+03 1.782703246323959092e+03 1.054714880306177065e+02 -6.580852743738026749e-06
7.049999999999999600e-01 7.742712082644566021e-07 7.810763929861955287e-07 1.807727007909414397e+03 1.807290286757403237e+03 1.033139065187994419e+02 -6.535137690843600390e-06
7.099999999999999645e-01 7.417203566253654521e-07 7.484685003276905672e-07 1.831238066979928590e+03 1.830794518221950739e+03 1.011405152871953135e+02 -6.480862533527919640e-06
7.149999999999999689e-01 7.094625829291774057e-07 7.161206662586121985e-07 1.853517202500199119e+03 1.853067788918111546e+03 9.895240409584104668e+01 -6.417792943310408047e-06
7.199999999999999734e-01 6.775424271922613716e-07 6.840726154460924628e-07 1.874404589914769076e+03 1.873950450180111147e+03 9.675070885417054001e+01 -6.345711204438120655e-06
7.249999999999999778e-01 6.460054708847961949e-07 6.523646557264414998e-07 1.893728907489122548e+03 1.893271371616381884e+03 9.453661170178314421e+01 -6.264421117661008369e-06
7.299999999999999822e-01 6.148982160156512837e-07 6.210375719224948853e-07 1.911307657510967374e+03 1.910848261088305435e+03 9.231134100877214621e+01 -6.173753790586963717e-06
7.349999999999999867e-01 5.842679329789265577e-07 5.901325080478645048e-07 1.926947866863403988e+03 1.926488363202623987e+03 9.007617129042004933e+01 -6.073574352749417370e-06
7.399999999999999911e-01 5.541624724881571058e-07 5.596908373378483255e-07 1.940447243252989438e+03 1.939989612451431412e+03 8.783242303083454772e+01 -5.963789591069060727e-06
